 ,Area,Mean,Min,Max,X,Y
166,0,127,127,127,1094.500,1322.500
167,0,97,97,97,1169.500,1328.500
168,0,85,85,85,1241.500,1325.500
169,0,124,124,124,1322.500,1325.500
170,0,115,115,115,1403.500,1328.500
171,0,45,45,45,1472.500,1322.500
172,0,156,156,156,1550.500,1325.500
173,0,111,111,111,1625.500,1319.500
174,0,85,85,85,1706.500,1322.500
175,0,73,73,73,1784.500,1322.500
176,0,73,73,73,1871.500,1325.500
177,0,206,206,206,692.500,1421.500
178,0,152,152,152,773.500,1418.500
179,0,206,206,206,863.500,1406.500
180,0,154,154,154,944.500,1406.500
181,0,19,19,19,1025.500,1409.500
182,0,38,38,38,1109.500,1415.500
183,0,96,96,96,1166.500,1418.500
184,0,158,158,158,1241.500,1403.500
185,0,170,170,170,1319.500,1400.500
186,0,170,170,170,1394.500,1403.500
187,0,109,109,109,1472.500,1403.500
188,0,36,36,36,1544.500,1412.500
189,0,67,67,67,1622.500,1409.500
190,0,145,145,145,1697.500,1406.500
191,0,173,173,173,1778.500,1406.500
192,0,41,41,41,1868.500,1409.500
193,0,205,205,205,686.500,1496.500
194,0,160,160,160,770.500,1490.500
195,0,163,163,163,863.500,1493.500
196,0,190,190,190,950.500,1493.500
197,0,194,194,194,1037.500,1487.500
198,0,42,42,42,1112.500,1493.500
199,0,232,232,232,1175.500,1493.500
200,0,195,195,195,1247.500,1484.500
201,0,62,62,62,1325.500,1493.500
202,0,101,101,101,1397.500,1493.500
203,0,59,59,59,1472.500,1484.500
204,0,240,240,240,1553.500,1481.500
205,0,195,195,195,1628.500,1487.500
206,0,166,166,166,1706.500,1478.500
207,0,47,47,47,1793.500,1487.500
208,0,142,142,142,1874.500,1493.500
209,0,226,226,226,677.500,1571.500
210,0,182,182,182,767.500,1559.500
211,0,133,133,133,854.500,1565.500
212,0,171,171,171,944.500,1562.500
213,0,157,157,157,1028.500,1568.500
214,0,119,119,119,1103.500,1574.500
215,0,148,148,148,1172.500,1577.500
216,0,164,164,164,1247.500,1577.500
217,0,153,153,153,1331.500,1580.500
218,0,118,118,118,1397.500,1574.500
219,0,156,156,156,1469.500,1565.500
220,0,115,115,115,1559.500,1565.500
221,0,28,28,28,1634.500,1565.500
222,0,61,61,61,1709.500,1571.500
223,0,53,53,53,1799.500,1571.500
224,0,185,185,185,1877.500,1574.500
225,0,138,138,138,668.500,1649.500
226,0,27,27,27,767.500,1637.500
227,0,164,164,164,851.500,1634.500
228,0,182,182,182,941.500,1640.500
229,0,190,190,190,1019.500,1646.500
230,0,176,176,176,1100.500,1646.500
231,0,166,166,166,1169.500,1649.500
232,0,179,179,179,1244.500,1652.500
233,0,152,152,152,1325.500,1658.500
234,0,124,124,124,1388.500,1664.500
235,0,183,183,183,1469.500,1646.500
236,0,62,62,62,1559.500,1643.500
237,0,175,175,175,1640.500,1646.500
238,0,188,188,188,1721.500,1649.500
239,0,173,173,173,1802.500,1646.500
240,0,190,190,190,1889.500,1655.500
241,0,101,101,101,665.500,1706.500
242,0,160,160,160,761.500,1697.500
243,0,174,174,174,851.500,1700.500
244,0,153,153,153,944.500,1706.500
245,0,108,108,108,1028.500,1715.500
246,0,226,226,226,1106.500,1724.500
247,0,159,159,159,1178.500,1724.500
248,0,204,204,204,1253.500,1724.500
249,0,104,104,104,1325.500,1727.500
250,0,165,165,165,1391.500,1739.500
251,0,193,193,193,1463.500,1736.500
252,0,172,172,172,1556.500,1727.500
253,0,68,68,68,1637.500,1742.500
254,0,174,174,174,1730.500,1736.500
255,0,96,96,96,1805.500,1730.500
256,0,145,145,145,1877.500,1739.500
